user_pseudo_id,predicted_value,predicted_conversion,conversion_probability_group,probability_group
1606260687.1743660500,0.005,0,LOW,0-10%
603549623.1742865734,0.088,0,LOW,0-10%
397088741.1744115293,0.02,0,LOW,0-10%
359480004.1742179196,0.087,0,LOW,0-10%
1019528395.1740456967,0.004,0,LOW,0-10%
1521104600.1744856128,0.031,0,LOW,0-10%
601808622.1744259109,0.002,0,LOW,0-10%
1032011509.1744436944,0.068,0,LOW,0-10%
171945268.1742442324,0.03333333333333333,0,LOW,0-10%
138569756.1741821449,0.138,0,LOW,10-20%
231199376.1732071532,0.001,0,LOW,0-10%
1156088839.1720572233,0.004,0,LOW,0-10%
1814032763.1742791502,0.002,0,LOW,0-10%
1726144430.1737426259,0.002,0,LOW,0-10%
1545262921.1738651684,0.015,0,LOW,0-10%
1978883229.1744100873,0.004,0,LOW,0-10%
1259082318.1743321148,0.006,0,LOW,0-10%
558397552.1743576154,0.021,0,LOW,0-10%
2131487079.1718841202,0.007,0,LOW,0-10%
1703098710.1743652812,0.006,0,LOW,0-10%
802317157.1743889306,0.009,0,LOW,0-10%
1759155379.1744178972,0.014,0,LOW,0-10%
180682884.1725940496,0.03277499999999999,0,LOW,0-10%
559634655.1742529325,0.063,0,LOW,0-10%
441349159.1744176708,0.02,0,LOW,0-10%
1573665845.1742512857,0.002,0,LOW,0-10%
678220992.1743325912,0.506,1,MEDIUM,50-60%
1377539835.1743571648,0.05533333333333333,0,LOW,0-10%
474111105.1743291097,0.001,0,LOW,0-10%
691380543.1744771294,0.005,0,LOW,0-10%
1330912226.1743446756,0.003,0,LOW,0-10%
408462274.1743735116,0.056,0,LOW,0-10%
26987463.1745286772,0.013,0,LOW,0-10%
371965114.1742865667,0.002,0,LOW,0-10%
1976986236.1730690422,0.015,0,LOW,0-10%
146894782.1744081498,0.13041259508465394,0,LOW,10-20%
1796366789.1743036150,0.014,0,LOW,0-10%
2047628439.1745282450,0.267,0,LOW,20-30%
1014771747.1742253882,0.004,0,LOW,0-10%
727264528.1743745831,0.08920555555555558,0,LOW,0-10%
269814317.1742517250,0.004,0,LOW,0-10%
590614973.1744852485,0.021,0,LOW,0-10%
1873833428.1713336156,0.11731182768824781,0,LOW,10-20%
1116208486.1743410616,0.04,0,LOW,0-10%
1864016770.1744336151,0.169,0,LOW,10-20%
1242354809.1743412438,0.001,0,LOW,0-10%
1124482720.1745285710,0.002,0,LOW,0-10%
1494638383.1745120322,0.002,0,LOW,0-10%
1772008172.1738132990,0.024,0,LOW,0-10%
1819352694.1744168009,0.023,0,LOW,0-10%
1575402759.1743574560,0.22171428571428572,0,LOW,20-30%
384791154.1744241964,0.008,0,LOW,0-10%
1358586865.1743316054,0.005,0,LOW,0-10%
1341316438.1742920815,0.011,0,LOW,0-10%
996208540.1742969820,0.007267857142857144,0,LOW,0-10%
1956930436.1744343408,0.009,0,LOW,0-10%
945243319.1744881145,0.023,0,LOW,0-10%
1839707502.1743738503,0.005,0,LOW,0-10%
229378100.1745071838,0.007267857142857144,0,LOW,0-10%
2143073417.1717888225,0.005,0,LOW,0-10%
1637997901.1728279393,0.003,0,LOW,0-10%
604188962.1717473577,0.003,0,LOW,0-10%
273982768.1744860749,0.023,0,LOW,0-10%
2093976590.1744362553,0.091,0,LOW,0-10%
586861441.1745274522,0.007267857142857144,0,LOW,0-10%
1568727722.1709521147,0.025,0,LOW,0-10%
1364941852.1744970123,0.023,0,LOW,0-10%
1342356702.1713852899,0.023,0,LOW,0-10%
737525870.1743739160,0.009,0,LOW,0-10%
954291268.1742784025,0.268,0,LOW,20-30%
313761688.1743023495,0.005,0,LOW,0-10%
980681742.1744068164,0.012,0,LOW,0-10%
1651673089.1742798693,0.009,0,LOW,0-10%
840381450.1743126610,0.003,0,LOW,0-10%
948514780.1739968439,0.001,0,LOW,0-10%
